filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,Core,NA,NA,NA,NA
Ocn-BuccooReefTobagoMontastrea.Moses.2006.lpd,coral,measured,D18O,permil,1,T,Sea Surface
Ocn-BuccooReefTobagoMontastrea.Moses.2006.lpd,coral,measured,D13C,permil,NA,NA,NA
Ocn-MaloChannelEspirituSantoIsland.Kilbourne.2004.lpd,coral,measured,D18O,permil,1,T,Sea Surface
Ocn-MaloChannelEspirituSantoIsland.Kilbourne.2004.lpd,coral,measured,Sr/Ca,mmol/mol,1,T,Sea Surface
Ocn-MaloChannelEspirituSantoIsland.Kilbourne.2004.lpd,coral,measured,D13C,permil,NA,NA,NA
Asi-MONG031.Jacoby.2010.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Arc-VøringPlateau.Berner.2011.lpd,marine sediment,measured,Ghostmeasured,NotApplicable,NA,NA,NA
Asi-NEPA042.Krusic.2010.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,Trsgi,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,TRW,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-WindyRidgeAlaska.D'Arrigo.2005.lpd,tree,measured,Core,NA,NA,NA,NA
Ocn-Moorea.Boiseau.1998.lpd,coral,measured,D18O,permil,1,T,Sea Surface
Asi-KYRG013.Solomina.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-CHIN064.Shao.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-BigWhite.Parish.2000.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-BigWhite.Parish.2000.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-BigWhite.Parish.2000.lpd,tree,measured,Core,NA,NA,NA,NA
Asi-CHIN058.Shao.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-HEBQIN.PAGES2k.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,measured,Depth,m,NA,NA,NA
KT05-7_PC02.Kawahata.2009.lpd,marine sediment,measured,Density,g/cm^3,NA,NA,NA
