filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
Ocn-Philippines.Stott.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Arc-Yamalia.Briffa.2013.lpd,tree,inferred,Temperature,Air Surface,Temperature,degC,1
Arc-Yamalia.Briffa.2013.lpd,tree,inferred,NA,NA,uncertainty_temperature,degC,NA
NAm-BasinPond.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
Asi-CentralChina.Wang.1998.lpd,documents,inferred,Temperature,Air Surface,Temperature,index,1
ME0005A-43JC.Benway.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
ME0005A-43JC.Benway.2006.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil SMOW,1
Afr-P178-15P.Tierney.2015.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
GeoB10043-3.Setiawan.2016.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
GeoB10043-3.Setiawan.2016.lpd,marine sediment,inferred,D18Osw,Sea Surface,D18O,per mil,1
GeoB10043-3.Setiawan.2016.lpd,marine sediment,inferred,NA,NA,Relative Sea Level,m,NA
Eur-Seebergsee.Larocque-Tobler.2012.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
MD05-2904.Steinke.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
MD05-2904.Steinke.2011.lpd,marine sediment,inferred,Temperature,Sea Surface,Thermocline Temperature,deg C,1
NAm-LakeoftheClouds.Gajewski.1988.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
MD95-2015.Marchal.2002.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
TR163-22.Lea.2006.lpd,marine sediment,inferred,Salinity,Sea Surface,D18O,per mil,1
TR163-22.Lea.2006.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
Ocn-SouthernChileMargin.Mohtadi.2007.lpd,marine sediment,inferred,Temperature,Sea Surface,Temperature,degC,1
M25_4-KL1.Emeis.2000.lpd,marine sediment,inferred,Temperature,Sea Surface,Sea Surface Temperature,deg C,1
NAm-LakeMina.St.Jacques.2008.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
NAm-LakeMina.St.Jacques.2008.lpd,lake sediment,inferred,Temperature,Air Surface,Temperature,degC,1
